chemicalid,residual sugar,chlorides,sulphates
1600,1.9,76,0.56
1601,2.6,98,0.68
1602,2.3,92,0.65
1603,1.9,75,0.58
1604,1.9,76,0.56
1605,1.8,75,0.56
1606,1.6,69,0.46
1607,1.2,65,0.47
1608,2.0,73,0.57
1609,6.1,71,0.8
1610,1.8,0.0969999999999999,0.54
1611,6.1,71,0.8
1612,1.6,89,0.52
1613,1.6,114,1.56
1614,3.8,176,0.88
1615,3.9,0.17,0.93
1616,1.8,92,0.75
1617,1.7,368,1.28
1618,4.4,86,0.5
1619,1.8,341,1.08
1620,1.8,77,0.53
1621,2.3,0.0819999999999999,0.65
1622,1.6,106,0.91
1623,2.3,84,0.53
1624,2.4,85,0.63
1625,1.4,0.08,0.56
1626,1.8,0.08,0.59
1627,1.6,106,0.91
1628,1.9,0.08,0.55
1629,2.0,0.0819999999999999,0.59
1630,2.4,89,0.54
1631,2.5,105,0.57
1632,2.3,83,0.66
1633,10.7,73,0.52
1634,1.8,103,0.55
1635,5.5,86,0.55
1636,2.4,86,0.6
1637,2.1,66,0.73
1638,1.5,172,0.48
1639,5.9,74,0.83
1640,5.9,74,0.83
1641,2.8,88,0.51
1642,2.6,332,0.9
1643,2.2,69,1.2
1644,1.8,0.05,0.52
1645,2.1,54,0.56
1646,2.2,114,0.73
1647,1.6,113,0.58
1648,1.6,66,0.56
1649,1.4,74,0.58
1650,1.7,74,0.74
1651,2.2,69,0.63
1652,2.1,68,0.64
1653,3.0,81,0.56
1654,2.8,0.11,0.63
1655,3.8,84,0.53
1656,3.4,0.07,0.63
1657,5.1,111,0.77
1658,2.3,76,0.59
1659,2.4,74,0.54
1660,2.2,79,0.64
1661,1.8,115,0.71
1662,1.9,85,0.62
1663,2.0,81,0.57
1664,4.65,86,0.39
1665,4.65,86,0.39
1666,1.5,79,0.58
1667,1.6,76,0.58
1668,2.0,74,0.79
1669,1.9,74,0.95
1670,1.9,76,0.54
1671,2.1,88,0.48
1672,1.9,84,0.48
1673,2.1,84,0.53
1674,2.5,94,0.82
1675,2.2,93,0.66
1676,2.2,93,0.66
1677,2.4,104,0.55
1678,2.0,86,0.52
1679,1.5,0.08,1.12
1680,1.6,69,0.56
1681,1.9,0.4639999999999999,1.28
1682,2.0,86,0.57
1683,1.8,401,1.14
1684,1.8,69,0.78
1685,2.2,76,0.59
1686,1.9,0.11,1.95
1687,1.9,62,0.64
1688,2.1,107,1.22
1689,1.8,76,0.53
1690,1.9,79,0.54
1691,1.9,0.11,1.95
1692,2.0,0.11,1.98
1693,1.9,62,0.64
1694,1.4,45,0.48
1695,2.3,0.0579999999999999,0.6
1696,3.0,102,0.56
1697,2.0,0.07,0.63
1698,2.5,79,0.56
1699,1.9,0.08,0.59
1700,2.1,84,0.61
1701,1.9,75,0.56
1702,1.9,0.08,0.59
1703,2.1,77,0.51
1704,2.2,0.07,0.48
1705,2.1,77,0.51
1706,1.7,467,1.31
1707,1.7,88,0.79
1708,2.5,91,0.8
1709,2.0,122,0.69
1710,1.8,104,0.93
