sulfurid,free sulfur dioxide,total sulfur dioxide
3200,11.0,34.0
3201,25.0,67.0
3202,15.0,54.0
3203,17.0,60.0
3204,11.0,34.0
3205,13.0,40.0
3206,15.0,59.0
3207,15.0,21.0
3208,9.0,18.0
3209,17.0,102.0
3210,15.0,65.0
3211,17.0,102.0
3212,16.0,59.0
3213,9.0,29.0
3214,52.0,145.0
3215,51.0,148.0
3216,35.0,103.0
3217,16.0,56.0
3218,6.0,29.0
3219,17.0,56.0
3220,29.0,60.0
3221,23.0,71.0
3222,10.0,37.0
3223,9.0,67.0
3224,21.0,40.0
3225,11.0,23.0
3226,4.0,11.0
3227,10.0,37.0
3228,14.0,35.0
3229,8.0,16.0
3230,17.0,82.0
3231,22.0,37.0
3232,15.0,113.0
3233,40.0,83.0
3234,13.0,50.0
3235,5.0,18.0
3236,3.0,15.0
3237,13.0,30.0
3238,7.0,19.0
3239,12.0,87.0
3240,12.0,87.0
3241,17.0,46.0
3242,8.0,14.0
3243,9.0,23.0
3244,5.0,11.0
3245,8.0,65.0
3246,22.0,114.0
3247,12.0,37.0
3248,5.0,12.0
3249,12.0,96.0
3250,4.0,23.0
3251,8.0,15.0
3252,6.0,14.0
3253,30.0,119.0
3254,33.0,73.0
3255,25.0,45.0
3256,4.0,10.0
3257,50.0,110.0
3258,17.0,54.0
3259,9.0,46.0
3260,19.0,52.0
3261,20.0,112.0
3262,12.0,35.0
3263,13.0,54.0
3264,4.0,11.0
3265,4.0,11.0
3266,11.0,39.0
3267,6.0,15.0
3268,27.0,65.0
3269,8.0,19.0
3270,15.0,27.0
3271,17.0,96.0
3272,18.0,94.0
3273,11.0,43.0
3274,28.0,83.0
3275,9.0,42.0
3276,9.0,42.0
3277,14.0,30.0
3278,12.0,80.0
3279,27.0,119.0
3280,3.0,15.0
3281,22.0,67.0
3282,21.0,73.0
3283,16.0,51.0
3284,18.0,61.0
3285,19.0,40.0
3286,20.0,136.0
3287,9.0,31.0
3288,34.0,125.0
3289,8.0,24.0
3290,42.0,140.0
3291,20.0,136.0
3292,19.0,133.0
3293,9.0,31.0
3294,41.0,85.0
3295,17.0,106.0
3296,8.0,23.0
3297,3.0,22.0
3298,5.0,10.0
3299,13.0,35.0
3300,11.0,50.0
3301,8.0,22.0
3302,13.0,35.0
3303,12.0,65.0
3304,5.0,36.0
3305,12.0,65.0
3306,18.0,69.0
3307,15.0,64.0
3308,18.0,80.0
3309,37.0,153.0
3310,12.0,47.0
3311,11.0,108.0
3312,14.0,111.0
3313,22.0,46.0
3314,12.0,47.0
3315,13.0,62.0
3316,11.0,40.0
3317,7.0,28.0
3318,14.0,56.0
3319,22.0,89.0
3320,10.0,89.0
3321,14.0,56.0
3322,3.0,13.0
3323,11.0,34.0
3324,21.0,102.0
3325,27.0,90.0
3326,3.0,12.0
3327,3.0,12.0
3328,3.0,16.0
3329,6.0,19.0
3330,30.0,134.0
3331,17.0,99.0
3332,17.0,99.0
3333,17.0,26.0
3334,13.0,29.0
3335,16.0,63.0
3336,10.0,52.0
3337,13.0,45.0
3338,15.0,105.0
3339,17.0,108.0
3340,16.0,63.0
3341,10.0,52.0
3342,27.0,63.0
3343,3.0,20.0
3344,27.0,63.0
3345,32.0,141.0
3346,21.0,94.0
3347,10.0,88.0
3348,12.0,30.0
3349,11.0,43.0
3350,5.0,11.0
3351,32.0,69.0
3352,25.0,99.0
3353,25.0,99.0
3354,29.0,129.0
3355,28.0,128.0
3356,29.0,129.0
3357,28.0,128.0
3358,12.0,22.0
3359,18.0,86.0
3360,7.0,20.0
3361,9.0,20.0
3362,17.0,31.0
3363,36.0,121.0
3364,35.0,121.0
3365,14.0,96.0
3366,18.0,101.0
3367,17.0,42.0
3368,11.0,44.0
3369,15.0,63.0
3370,4.0,8.0
3371,6.0,18.0
